## Last Updated: 2023-01-25 04:53:16 CST
"No.","Name","ID","State","Nation","Rating","Rating.new","(+/-)","Regular","tDate","tName"
"16","Sharevich, Anna","14690848","MO","USA",2345,2345,"","2354 => 2345","2021-10-18202110183072","2021 U.S. WOMENS CHAMPIONSHIP (MO)1: ROUND ROBIN"
"17","Nguyen, Emily Quynh","13942431","TX","USA",2340,2328,"(-12)","2340 => 2328","2023-01-08202301081632","2023 PAN AMERICAN INTERCOLLEGIATE CHAMPIONSHIP (WA)1: OPEN"
"18","Samadashvili, Martha","14920851","NY","USA",2326,2326,"","2340 => 2326","2021-07-25202107253002","2021 U.S. GIRLS' JUNIOR CHAMPIONSHIP (MO)1: ROUND ROBIN"
"19","Foisor, Sabina-Francesca","14012260","NC","USA",2303,2308,"(+5)","2309 => 2308","2023-01-16202301164192","55TH ANNUAL LIBERTY BELL OPEN! (PA)1: MAJOR SECTION"
"20","Morris-Suzuki, Sophie","15542082","NY","USA",2300,2294,"(-6)","2300 => 2294","2023-01-15202301153442","KQC1-15-23 (NY)1: KQC1-15-23"
"21","Derakhshani, Dorsa","16464180","MO","USA",2287,2289,"(+2)","2287 => 2289","2023-01-08202301081632","2023 PAN AMERICAN INTERCOLLEGIATE CHAMPIONSHIP (WA)1: OPEN"
"22","Feng, Maggie","14105448","OH","USA",2286,2279,"(-7)","2286 => 2279","2023-01-16202301163842","2023 CHARLOTTE OPEN (NC)1: CHAMPIONSHIP"
"24","Cardona, Liulia","13469768","AZ","USA",2238,2238,"","2232 => 2238","2020-01-25202001258422","JANUARY GAME IN 60 CHALLENGE (AZ)1: OPEN (1700 AND UP)"
"23","Tang, Zoey","16097502","OR","USA",2249,2236,"(-13)","2250 => 2236","2022-12-30202212306492","32ND ANNUAL NORTH AMERICAN OPEN (NV)1: OPEN"
"27","Wang, Ellen Luojia","15401090","NY","USA",2225,2225,"","2221 => 2225","2022-08-02202208029092","10TH ANNUAL HARING NATL TMT OF GIRLS STATE CHAMPS (CA)1: HARING"
"25","Virkud, Apurva","13464694","MI","USA",2231,2221,"(-10)","2231 => 2221","2023-01-08202301081632","2023 PAN AMERICAN INTERCOLLEGIATE CHAMPIONSHIP (WA)1: OPEN"
"28","Belakovskaia, Anjelina","12559824","AZ","USA",2218,2218,"","2241 => 2218","2019-08-20201908208112","BERKELEY SUMMER IM NORM (CA)1: IM NORM"
"26","Mou, Iris","15794244","NY","USA",2226,2210,"(-16)","2194 => 2210","2023-01-16202301164192","55TH ANNUAL LIBERTY BELL OPEN! (PA)1: MAJOR SECTION"
"29","Zhu, Evelyn","14587517","NY","USA",2213,2209,"(-4)","2213 => 2209","2023-01-08202301081632","2023 PAN AMERICAN INTERCOLLEGIATE CHAMPIONSHIP (WA)1: OPEN"
"33","Liu, Kelsey","15770981","MA","USA",2184,2205,"(+21)","2200 => 2205","2023-01-16202301164192","55TH ANNUAL LIBERTY BELL OPEN! (PA)1: MAJOR SECTION"
"30","Prasanna, Gracy Franco","15472188","PA","USA",2204,2204,"","2211 => 2204","2022-08-27202208272072","220827 LEHIGH VALLEY SAT SUPER QUAD (PA)1: QUAD 01"
"31","Marinello, Beatriz","12537449","NY","USA",2200,2200,"","2210 => 2200","2022-02-21202202213242","2022 WORLD AMATEUR TEAM (NJ)1: OPEN"
"32","Bykovtsev, Agata","13711887","CA","USA",2196,2179,"(-17)","2196 => 2179","2022-12-30202212306492","32ND ANNUAL NORTH AMERICAN OPEN (NV)2: UNDER 2300"
"39","Atwell, Rose","16303021","CA","USA",2157,2177,"(+20)","2151 => 2177","2023-01-16202301164782","DREAMING KING OPEN (CA)2: OPEN"
"34","Vittal, Sanjana","14713858","NJ","USA",2170,2170,"","2169 => 2170","2022-08-13202208135392","MASTERMINDS 2ND SATURDAY (PA)1: QUAD 1"
"35","Liu, Joanna","14090307","AZ","USA",2166,2166,"","2177 => 2166","2020-01-20202001205832","DREAMING KING OPEN (CA)1: OPEN"
"36","Peters, Epiphany M","12937939","MI","USA",2163,2163,"","2159 => 2163","2021-12-18202112189652","INDY WINTER CHAMPIONSHIP! (IN)1: PREMIER"
"=36","Ulrich, Susanna G","13498414","WI","USA",2163,2163,"","2153 => 2163","2022-01-17202201178612","54TH ANNUAL LIBERTY BELL OPEN! (PA)1: MAJOR SECTION"
"38","Zeng, Sheena","14640432","KS","USA",2160,2160,"","2181 => 2160","2022-07-31202207317732","52ND ANNUAL CONTINENTAL OPEN (MA)2: UNDER 2200"
"40","Ehsani, Yassamin","14745787","NY","USA",2150,2150,"","2169 => 2150","2022-09-05202209056622","2022 NJ OPEN (NJ)1: OPEN - MERGE"
"41","Marshall, Abby","12784803","NY","USA",2149,2149,"","2148 => 2149","2021-10-23202110236852","SATURDAY G-50 (NY)1: G50 OPEN"
"43","Matus, Nastassja A","14892265","MN","USA",2121,2125,"(+4)","2113 => 2125","2023-01-22202301228672","WINTER OPEN 2023 (MN)1: OPEN"
"44","Velea, Anne-Marie","15689252","WA","USA",2114,2116,"(+2)","2114 => 2116","2022-12-30202212306492","32ND ANNUAL NORTH AMERICAN OPEN (NV)2: UNDER 2300"
"42","Mangalam, Shreya","14385521","IL","USA",2126,2110,"(-16)","2126 => 2110","2023-01-08202301081632","2023 PAN AMERICAN INTERCOLLEGIATE CHAMPIONSHIP (WA)1: OPEN"
"47","Vidyarthi, Omya","15782318","CA","USA",2109,2109,"","2069 => 2109","2022-11-27202211271462","57TH AMERICAN OPEN (CA)1: OPEN"
"55","Paragua, Megan Althea","17106692","NY","USA",2080,2106,"(+26)","2119 => 2106","2023-01-08202301080012","FIDEPREMIER (NY)1: FIDEPREMIER"
"=47","Su, Jasmine Zhixin","16377701","CT","USA",2109,2101,"(-8)","2089 => 2101","2023-01-22202301227772","U2400 (NY)1: U2400"
"49","Sagalchik, Olga","12565069","NY","USA",2100,2100,"","2100 => 2100","2019-04-25201904253852","MARSHALL THURSDAY ACTION042519 (NY)1: MARSHALL THURSDAY ACTION"
"=49","Sloan, Julia Elizabeth","12615391","NY","USA",2100,2100,"","2115 => 2100","2022-06-09202206093012","2022 US WOMENS OPEN CHAMPIONSHIP (NV)1: OPEN"
"=44","Wisniowski, Natalie","15702390","IL","USA",2114,2091,"(-23)","2088 => 2091","2023-01-16202301163842","2023 CHARLOTTE OPEN (NC)1: CHAMPIONSHIP"
"=52","Zilajeva, Veronika","15229376","OK","USA",2085,2085,"","2080 => 2085","2022-01-10202201106612","2022 PAN AMERICAN INTERCOLLEGIATE C (VA)1: CHAMPIONSHIP"
"52","Eswaran, Aksithi","14583755","CA","USA",2085,2081,"(-4)","2085 => 2081","2023-01-22202301227782","2023 SJCC-1000GM WINTER CHAMPIONSHIP (CA)1: OPEN"
"54","Zlotchevsky, Nicole","13688407","NY","USA",2083,2080,"(-3)","2083 => 2080","2023-01-16202301164192","55TH ANNUAL LIBERTY BELL OPEN! (PA)1: MAJOR SECTION"
"51","Regam, Jessica Shor","13467370","FL","USA",2094,2076,"(-18)","2089 => 2076","2023-01-16202301164192","55TH ANNUAL LIBERTY BELL OPEN! (PA)1: MAJOR SECTION"
"56","Kumar, Arya","15768672","NC","USA",2076,2076,"","2049 => 2076","2022-12-11202212118182","2022 NATIONAL K-12 GRADE CHAMPIONSHIP (MD)1: 12TH GRADE CHAMPIONSHIP"
"57","Wang, Nancy","14782103","NY","USA",2075,2075,"","2093 => 2075","2022-08-04202208049562","THURSDAY ACTION 8-4-2022 (NY)1: THURSDAYACTION"
"58","Yellamraju, Ambica","15105036","TX","USA",2074,2074,"","2095 => 2074","2022-08-02202208029092","10TH ANNUAL HARING NATL TMT OF GIRLS STATE CHAMPS (CA)1: HARING"
"46","Mcgrew, Clara","13377446","MI","USA",2112,2071,"(-41)","2112 => 2071","2023-01-22202301228622 **","2023 MICHIGAN MASTER-EXPERT CLASS (MI)1: MASTER EXPERT"
"59","Yisrael, Shama","15607430","FL","USA",2063,2071,"(+8)","2068 => 2071","2023-01-15202301153432","THE MATRIX 2 (FL)1: OPEN"
"60","Arab, Kiana","14698186","AZ","USA",2059,2059,"","2058 => 2059","2022-08-28202208282182","UNITY SUNDAY WEEKLY AUGUST 28 (AZ)1: OPEN"
"61","Liu, Miranda Mohan","14042343","IL","USA",2054,2054,"","2020 => 2054","2019-03-17201903174252","2019 NATIONAL HIGH SCHOOL CHAMPIONS (IL)1: K12"
"=73","Jou, Esther","15754295","CA","USA",2016,2050,"(+34)","2028 => 2050","2023-01-21202301216782","GAMBITO - 1000 ! (CA)2: OPEN"
"63","Dong, Alice","13398051","NJ","USA",2043,2043,"","2052 => 2043","2021-08-08202108087902","121ST U.S. OPEN CHAMPIONSHIP (NJ)1: US OPEN"
"64","Zhu, Jenny","15942700","NY","USA",2037,2043,"(+6)","2037 => 2043","2023-01-15202301153252","G-50 U1600 (NY)2: OPEN"
"66","Hyatt, Jessica","15502462","NY","USA",2034,2033,"(-1)","2042 => 2033","2023-01-16202301163822","MARSHALL MLK DAY ACTION (NY)1: MARSHALL MLK DAY ACTION"
"67","Nguyen, Anh Nhu","13942081","TX","USA",2032,2032,"","2012 => 2032","2022-07-17202207170402","15TH ANNUAL CHICAGO CLASS (IL)2: EXPERT"
"65","Gaw, Chloe","16608942","NY","USA",2035,2031,"(-4)","2070 => 2031","2023-01-16202301164192","55TH ANNUAL LIBERTY BELL OPEN! (PA)1: MAJOR SECTION"
"68","Liu, Kimberly","14268494","CA","USA",2029,2029,"","2049 => 2029","2022-02-21202202213242","2022 WORLD AMATEUR TEAM (NJ)1: OPEN"
"77","Pang, Ashley","15365204","CA","USA",2008,2028,"(+20)","2008 => 2028","2022-12-30202212306492","32ND ANNUAL NORTH AMERICAN OPEN (NV)1: OPEN"
"62","Zhou, Iris","14467261","MO","USA",2051,2027,"(-24)","2051 => 2027","2023-01-08202301081632","2023 PAN AMERICAN INTERCOLLEGIATE CHAMPIONSHIP (WA)1: OPEN"
"84","Ke, Rianne","15179208","CA","USA",1995,2027,"(+32)","1993 => 2027","2023-01-16202301164782","DREAMING KING OPEN (CA)2: OPEN"
"71","Dommalapati, Aasa","13778456","VA","USA",2018,2026,"(+8)","2018 => 2026","2023-01-08202301081632","2023 PAN AMERICAN INTERCOLLEGIATE CHAMPIONSHIP (WA)1: OPEN"
"69","Munoz, Claudia Elizabeth","13481236","IN","USA",2019,2019,"","2011 => 2019","2019-12-30201912304682","2019 PAN-AMERICAN INTERCOLLEGIATE TEAM (NC)1: CHAMPIONSHIP"
"=69","Lee, Yesun Kate","15365623","CA","USA",2019,2019,"","2006 => 2019","2022-09-05202209056662","2022 CALCHESS STATE OPEN CHAMPIONSHIP (BAC 2199) (CA)1: OPEN"
"72","Trakru, Priya Nikita","13806686","TX","USA",2017,2017,"","2048 => 2017","2021-12-12202112126662","TCR: HOUSTON WINTER CHAMPIONSHIP 2021 (TX)1: CHAMPIONSHIP"
"75","Yang, Vicki","14973058","NY","USA",2015,2015,"","2048 => 2015","2022-02-21202202213242","2022 WORLD AMATEUR TEAM (NJ)1: OPEN"
"99","Menon, Gauri","15187152","WI","USA",1937,2015,"(+78)","1937 => 2015","2022-12-30202212306492","32ND ANNUAL NORTH AMERICAN OPEN (NV)2: UNDER 2300"
"76","Zheng, Carissa Angela","15612136","MD","USA",2012,2012,"","2028 => 2012","2022-12-11202212118182","2022 NATIONAL K-12 GRADE CHAMPIONSHIP (MD)1: 12TH GRADE CHAMPIONSHIP"
"79","Baalla, Nura","15515138","NY","USA",2005,2005,"","2026 => 2005","2022-11-27202211271732","G-50 OPEN (NY)1: OPEN"
"80","Zhang, Cindy","14374405","CA","USA",2001,2001,"","1987 => 2001","2022-09-05202209055562","81ST NEW ENGLAND OPEN (MA)1: CHAMPIONSHIP"
"81","Teasley, Dorothy","10074258","NY","USA",2000,2000,"","2000 => 2000","2022-04-14202204147512","3RD WESLEY HELLNER MEMORIAL (NY)1: HELLNER"
"=81","Root, Alexey Wilhelmina","10374651","TX","USA",2000,2000,"","2000 => 2000","2022-08-14202208144072","2022 TEXAS WOMENS CHAMPIONSHIP (TX)1: TEXAS WOMENS CHAMPIONSHIP"
"73","Ballantyne, Rochelle","13104890","NY","USA",2016,1997,"(-19)","2000 => 1997","2023-01-11202301111332","UNDER 2200 (NY)1: UNDER 2200"
"78","Moshkevich, Elizabeth","13778373","NJ","USA",2006,1986,"(-20)","1985 => 1986","2023-01-16202301164192","55TH ANNUAL LIBERTY BELL OPEN! (PA)2: UNDER 2100 SECTION"
"90","Kumar, Asha","15773027","NC","USA",1962,1986,"(+24)","1962 => 1986","2023-01-16202301163842","2023 CHARLOTTE OPEN (NC)2: UNDER 2100"
"83","Herman, Sara","14345441","CO","USA",1997,1985,"(-12)","1978 => 1985","2023-01-15202301153362","DCC TRIBUTE TO MLK 2023 (CO)1: CHAMPIONSHIP (+1800 USCF)"
"85","Airapetian, Chouchanik","12629918","WA","USA",1985,1985,"","1988 => 1985","2022-09-11202209118892","WASHINGTON WOMEN'S CHAMPIONSHIP (WA)1: OPEN"
"88","Chen, Minda","15185862","WA","USA",1966,1982,"(+16)","1966 => 1982","2023-01-08202301081632","2023 PAN AMERICAN INTERCOLLEGIATE CHAMPIONSHIP (WA)2: U1800"
"87","Liu, Angela","16912277","CA","USA",1976,1975,"(-1)","1994 => 1975","2023-01-16202301164782","DREAMING KING OPEN (CA)2: OPEN"
"89","Mallanna, Kavyashree","12808310","NH","USA",1965,1965,"","1962 => 1965","2021-12-04202112043322","2021 K-12 FRIENDS AND FAMILY (FL)1: FRIENDS AND FAMILY - RATED"
"91","Lei, Amy","15760000","MA","USA",1961,1961,"","1969 => 1961","2020-02-17202002171842","WORLD AMATEUR TEAM 2020 (NJ)1: WORLD TEAM 2020"
"96","Yu, Avery","15921044","CA","USA",1947,1961,"(+14)","1996 => 1961","2023-01-21202301216782","GAMBITO - 1000 ! (CA)2: OPEN"
"97","Aravindakshan, Sahana","16741147","NJ","USA",1946,1958,"(+12)","1940 => 1958","2023-01-16202301164192","55TH ANNUAL LIBERTY BELL OPEN! (PA)1: MAJOR SECTION"
"95","Chen, Danni","14345153","NY","USA",1951,1951,"","1979 => 1951","2021-11-28202111281082","52ND ANNUAL NATIONAL CHESS CONGRESS (PA)2: UNDER 2200"
"100","Zhou, Vanessa G","16605978","CA","USA",1934,1944,"(+10)","1958 => 1944","2023-01-16202301164782","DREAMING KING OPEN (CA)2: OPEN"
"98","Wang, Tianna","15486476","MA","USA",1941,1941,"","1925 => 1941","2022-11-27202211271022","3RD_BOSTON_ELITE_THANKSGIVING_OPEN_ (MA)1: 1_PREMIER__FIDE_"
"86","Papanek, Ella Sharpe","13796480","NY","USA",1977,1930,"(-47)","1949 => 1930","2023-01-16202301164192","55TH ANNUAL LIBERTY BELL OPEN! (PA)2: UNDER 2100 SECTION"
"92","Sharuda, Kameliia","15797072","NJ","USA",1956,1928,"(-28)","1958 => 1928","2023-01-08202301089962","U2000 PREMIER (NY)1: U2000 PREMIER"
"94","Zhou, Chelsea","15239016","CA","USA",1955,1927,"(-28)","1943 => 1927","2023-01-16202301164172","14TH ANNUAL GOLDEN STATE OPEN (CA)1: MAJOR"
"=92","Gu, Crystal","16028603","CA","USA",1956,1916,"(-40)","1936 => 1916","2023-01-16202301164782","DREAMING KING OPEN (CA)2: OPEN"
